binding_energy_eV,intensity_cps
292.0,795.58
291.95,758.11
291.9,820.58
291.85,783.24
291.8,818.45
291.75,777.75
291.7,771.35
291.65,892.68
291.6,891.1
291.55,867.26
291.5,860.67
291.45,858.29
291.4,814.59
291.35,835.49
291.3,888.49
291.25,906.79
291.2,892.01
291.15,807.71
291.1,871.16
291.05,966.97
291.0,958.69
290.95,894.11
290.9,950.82
290.85,963.21
290.8,936.12
290.75,1034.02
290.7,962.14
290.65,956.78
290.6,1007.09
290.55,1070.48
290.5,1062.08
290.45,1017.07
290.4,1087.27
290.35,1151.12
290.3,1214.39
290.25,1283.18
290.2,1331.56
290.15,1416.03
290.1,1324.03
290.05,1424.49
290.0,1575.91
289.95,1603.04
289.9,1707.5
289.85,1882.96
289.8,2011.24
289.75,2121.75
289.7,2398.04
289.65,2549.04
289.6,2847.55
289.55,3093.98
289.5,3462.05
289.45,3775.92
289.4,4080.51
289.35,4471.22
289.3,4893.76
289.25,5210.67
289.2,5535.87
289.15,6213.75
289.1,6556.94
289.05,6857.99
289.0,7039.76
288.95,7485.1
288.9,7775.69
288.85,7964.16
288.8,8166.67
288.75,8014.18
288.7,7832.28
288.65,7796.88
288.6,7836.27
288.55,7459.53
288.5,7150.87
288.45,7015.19
288.4,6676.73
288.35,6306.24
288.3,6069.45
288.25,5758.66
288.2,5629.22
288.15,5109.05
288.1,5064.26
288.05,4757.07
288.0,4625.1
287.95,4480.04
287.9,4540.78
287.85,4580.67
287.8,4533.27
287.75,4680.71
287.7,4904.72
287.65,5022.68
287.6,5292.43
287.55,5748.49
287.5,6187.88
287.45,6676.03
287.4,7443.45
287.35,8170.45
287.3,9318.43
287.25,10568.25
287.2,11636.7
287.15,13249.69
287.1,14919.73
287.05,16549.45
287.0,18534.55
286.95,20495.08
286.9,22319.45
286.85,24367.34
286.8,26128.1
286.75,27972.79
286.7,29392.15
286.65,30614.37
286.6,31479.04
286.55,31687.51
286.5,31771.61
286.45,31269.28
286.4,30441.62
286.35,29629.74
286.3,28745.75
286.25,27095.86
286.2,26441.71
286.15,25102.08
286.1,24274.53
286.05,23798.03
286.0,23200.33
285.95,23597.05
285.9,24155.42
285.85,24667.79
285.8,26336.34
285.75,27898.18
285.7,30434.74
285.65,33339.72
285.6,36126.79
285.55,39469.26
285.5,42923.46
285.45,46536.77
285.4,50155.73
285.35,53304.49
285.3,57271.13
285.25,60286.69
285.2,62222.02
285.15,64311.41
285.1,65162.3
285.05,65184.39
285.0,64678.16
284.95,63277.22
284.9,61270.38
284.85,58225.99
284.8,55109.96
284.75,51826.56
284.7,47620.81
284.65,44531.67
284.6,40132.66
284.55,37490.18
284.5,33603.48
284.45,30737.36
284.4,27850.97
284.35,25333.55
284.3,22665.9
284.25,20666.16
284.2,18509.3
284.15,17564.75
284.1,15971.86
284.05,15072.35
284.0,14040.69
283.95,13346.29
283.9,12959.58
283.85,12405.26
283.8,11951.89
283.75,11605.42
283.7,11324.35
283.65,11329.83
283.6,11118.5
283.55,10965.96
283.5,10737.54
283.45,10754.26
283.4,10792.0
283.35,10520.41
283.3,10374.37
283.25,10476.14
283.2,10121.65
283.15,10195.59
283.1,10281.85
283.05,10042.61
283.0,10042.38
282.95,10157.99
282.9,10045.63
282.85,10004.11
282.8,10124.54
282.75,9787.09
282.7,9671.69
282.65,9708.31
282.6,9977.05
282.55,9765.69
282.5,9810.0
282.45,10011.81
282.4,9808.9
282.35,9759.0
282.3,9771.43
282.25,9714.85
282.2,9564.81
282.15,9769.16
282.1,9712.32
282.05,9611.84
282.0,9855.16
