binding_energy_eV,intensity_cps
292.0,653.61
291.95,695.12
291.9,757.23
291.85,664.89
291.8,669.12
291.75,742.21
291.7,729.96
291.65,668.58
291.6,679.19
291.55,830.45
291.5,775.27
291.45,783.67
291.4,784.26
291.35,748.78
291.3,844.59
291.25,732.13
291.2,787.44
291.15,834.94
291.1,833.01
291.05,862.88
291.0,883.18
290.95,857.13
290.9,919.41
290.85,943.45
290.8,904.03
290.75,896.11
290.7,963.8
290.65,1037.41
290.6,1040.4
290.55,1004.05
290.5,1141.02
290.45,1125.71
290.4,1237.85
290.35,1317.61
290.3,1398.84
290.25,1521.15
290.2,1605.19
290.15,1860.1
290.1,2096.74
290.05,2263.78
290.0,2509.18
289.95,2868.7
289.9,3134.71
289.85,3689.81
289.8,4237.38
289.75,4615.92
289.7,5330.58
289.65,6064.01
289.6,6803.09
289.55,7490.51
289.5,8396.8
289.45,9569.43
289.4,10570.63
289.35,11480.89
289.3,12383.35
289.25,13574.83
289.2,14710.93
289.15,15658.39
289.1,16471.0
289.05,17431.25
289.0,18279.02
288.95,18946.04
288.9,19460.45
288.85,19485.28
288.8,19869.17
288.75,19981.06
288.7,19861.4
288.65,19623.08
288.6,19439.0
288.55,18728.84
288.5,17748.17
288.45,16981.1
288.4,16187.16
288.35,15415.79
288.3,14341.83
288.25,13477.3
288.2,12636.73
288.15,11647.95
288.1,10840.2
288.05,9957.35
288.0,9280.52
287.95,8670.67
287.9,8069.85
287.85,7580.58
287.8,7349.11
287.75,6946.45
287.7,6648.72
287.65,6860.54
287.6,6878.03
287.55,7062.16
287.5,7377.07
287.45,7731.55
287.4,8302.67
287.35,8869.06
287.3,9214.29
287.25,9999.7
287.2,11181.89
287.15,11930.13
287.1,12900.93
287.05,13910.37
287.0,15062.21
286.95,16113.27
286.9,17109.73
286.85,18416.15
286.8,19396.78
286.75,20233.21
286.7,21296.11
286.65,21914.83
286.6,23016.96
286.55,23162.46
286.5,23845.8
286.45,24236.13
286.4,24395.18
286.35,24408.88
286.3,24533.1
286.25,24658.48
286.2,24110.74
286.15,24076.72
286.1,23539.29
286.05,23613.04
286.0,23163.85
285.95,23071.12
285.9,23270.89
285.85,22940.22
285.8,23357.6
285.75,23272.58
285.7,23942.93
285.65,23730.53
285.6,24747.51
285.55,25456.33
285.5,26586.89
285.45,27152.06
285.4,28134.95
285.35,29248.41
285.3,30522.39
285.25,31568.79
285.2,32291.69
285.15,33206.85
285.1,33647.0
285.05,34388.01
285.0,34565.47
284.95,34700.6
284.9,34956.4
284.85,34027.56
284.8,33346.55
284.75,32374.42
284.7,31298.7
284.65,30071.99
284.6,28646.18
284.55,27300.05
284.5,25843.34
284.45,24256.41
284.4,22620.69
284.35,20928.83
284.3,19626.98
284.25,18515.84
284.2,17031.19
284.15,15645.76
284.1,14495.1
284.05,13388.78
284.0,12337.92
283.95,11428.8
283.9,10715.38
283.85,9831.21
283.8,9116.73
283.75,8718.76
283.7,8367.78
283.65,7839.68
283.6,7619.53
283.55,7193.68
283.5,6831.94
283.45,6730.13
283.4,6558.58
283.35,6396.54
283.3,6340.88
283.25,6226.63
283.2,6136.77
283.15,6053.36
283.1,5951.47
283.05,6096.71
283.0,5848.1
282.95,5802.02
282.9,5785.9
282.85,5696.75
282.8,5641.71
282.75,5756.35
282.7,5665.44
282.65,5743.2
282.6,5524.77
282.55,5543.3
282.5,5444.05
282.45,5492.52
282.4,5576.63
282.35,5508.79
282.3,5617.43
282.25,5499.41
282.2,5371.58
282.15,5489.86
282.1,5516.11
282.05,5417.8
282.0,5429.99
