binding_energy_eV,intensity_cps
292.0,601.28
291.95,656.53
291.9,669.81
291.85,661.27
291.8,654.98
291.75,627.43
291.7,675.99
291.65,714.86
291.6,677.78
291.55,651.44
291.5,719.98
291.45,716.19
291.4,710.23
291.35,771.93
291.3,706.01
291.25,782.93
291.2,813.82
291.15,793.67
291.1,766.06
291.05,759.37
291.0,851.85
290.95,887.96
290.9,843.47
290.85,1015.43
290.8,854.34
290.75,843.15
290.7,944.8
290.65,925.03
290.6,968.34
290.55,965.93
290.5,942.08
290.45,1014.94
290.4,1097.48
290.35,1150.18
290.3,1150.22
290.25,1118.24
290.2,1241.96
290.15,1329.27
290.1,1431.84
290.05,1506.81
290.0,1535.49
289.95,1623.79
289.9,1870.33
289.85,2015.26
289.8,2333.1
289.75,2478.18
289.7,2763.69
289.65,3174.92
289.6,3492.23
289.55,4100.08
289.5,4588.36
289.45,5227.8
289.4,5675.64
289.35,6855.31
289.3,7549.77
289.25,8406.9
289.2,9547.06
289.15,10831.27
289.1,11661.39
289.05,12999.45
289.0,14139.43
288.95,14795.47
288.9,16150.89
288.85,17028.85
288.8,18116.32
288.75,18690.05
288.7,18950.51
288.65,19117.64
288.6,19873.88
288.55,18997.74
288.5,18744.07
288.45,18357.05
288.4,17399.53
288.35,16801.72
288.3,15831.13
288.25,15065.58
288.2,13787.65
288.15,12805.98
288.1,11943.5
288.05,11082.16
288.0,9683.08
287.95,8883.54
287.9,7997.41
287.85,7847.2
287.8,6867.77
287.75,6087.44
287.7,5787.85
287.65,5408.63
287.6,5350.54
287.55,5309.27
287.5,5123.09
287.45,4909.89
287.4,5047.27
287.35,5228.11
287.3,5500.13
287.25,5956.47
287.2,6374.97
287.15,6998.68
287.1,8006.27
287.05,9080.65
287.0,10271.95
286.95,10891.96
286.9,12723.09
286.85,14193.54
286.8,15817.55
286.75,17483.9
286.7,19458.34
286.65,21223.81
286.6,22630.48
286.55,24815.36
286.5,26488.19
286.45,27263.72
286.4,28362.86
286.35,29062.39
286.3,29201.0
286.25,30150.97
286.2,30150.88
286.15,29619.99
286.1,28531.44
286.05,28215.69
286.0,27251.13
285.95,25321.74
285.9,24253.14
285.85,23480.34
285.8,22583.93
285.75,21200.67
285.7,21190.9
285.65,19838.0
285.6,19576.94
285.55,19309.85
285.5,19853.55
285.45,19673.15
285.4,20049.15
285.35,20247.08
285.3,21014.56
285.25,21760.62
285.2,22713.39
285.15,23705.92
285.1,24243.08
285.05,25713.99
285.0,26074.5
284.95,27004.65
284.9,27916.37
284.85,28015.09
284.8,28106.99
284.75,28825.13
284.7,28138.84
284.65,28354.12
284.6,28382.91
284.55,27073.21
284.5,26494.43
284.45,25147.41
284.4,24643.06
284.35,23214.67
284.3,22008.59
284.25,20381.96
284.2,19029.65
284.15,17976.67
284.1,17081.48
284.05,15535.37
284.0,14103.46
283.95,13822.82
283.9,12546.52
283.85,11744.2
283.8,10765.62
283.75,10318.05
283.7,9292.98
283.65,8800.68
283.6,8264.32
283.55,8069.25
283.5,7505.52
283.45,7215.85
283.4,6926.47
283.35,6675.98
283.3,6484.07
283.25,6151.72
283.2,5854.02
283.15,6183.56
283.1,5848.2
283.05,5792.67
283.0,5832.62
282.95,5505.99
282.9,5460.12
282.85,5488.87
282.8,5377.89
282.75,5442.54
282.7,5284.59
282.65,5386.93
282.6,5362.14
282.55,5087.77
282.5,5122.11
282.45,5185.73
282.4,5379.87
282.35,5116.62
282.3,5112.15
282.25,4974.93
282.2,5002.53
282.15,5179.65
282.1,4907.21
282.05,5033.88
282.0,4788.28
