binding_energy_eV,intensity_cps
292.0,500.68
291.95,574.36
291.9,571.78
291.85,595.51
291.8,629.84
291.75,566.27
291.7,561.82
291.65,525.73
291.6,647.01
291.55,655.91
291.5,563.22
291.45,625.15
291.4,598.77
291.35,593.38
291.3,633.37
291.25,622.68
291.2,593.29
291.15,655.39
291.1,690.41
291.05,692.88
291.0,596.45
290.95,657.19
290.9,693.19
290.85,743.03
290.8,770.56
290.75,680.41
290.7,751.37
290.65,761.21
290.6,834.33
290.55,823.89
290.5,783.46
290.45,832.65
290.4,850.0
290.35,860.32
290.3,844.42
290.25,975.58
290.2,1033.89
290.15,1075.53
290.1,1217.75
290.05,1230.63
290.0,1270.45
289.95,1321.66
289.9,1507.86
289.85,1648.32
289.8,1935.16
289.75,2036.86
289.7,2326.07
289.65,2449.47
289.6,2703.04
289.55,3105.93
289.5,3502.82
289.45,3828.97
289.4,4225.19
289.35,4719.37
289.3,5310.68
289.25,5523.08
289.2,5989.84
289.15,6531.4
289.1,7094.52
289.05,7588.1
289.0,7917.93
288.95,8556.6
288.9,9017.46
288.85,9357.51
288.8,9687.62
288.75,9875.9
288.7,10137.41
288.65,9983.9
288.6,9900.86
288.55,9795.69
288.5,9557.84
288.45,9373.08
288.4,9110.18
288.35,8611.56
288.3,8315.68
288.25,7753.46
288.2,7317.15
288.15,6927.79
288.1,6433.61
288.05,5984.8
288.0,5523.61
287.95,5433.5
287.9,4913.06
287.85,4706.03
287.8,4445.33
287.75,4396.99
287.7,4184.71
287.65,4145.7
287.6,4049.53
287.55,3981.69
287.5,4141.2
287.45,4493.28
287.4,4665.99
287.35,4946.55
287.3,5353.48
287.25,5745.25
287.2,6372.49
287.15,6974.53
287.1,7641.48
287.05,8424.06
287.0,9170.65
286.95,9981.73
286.9,11228.38
286.85,11793.21
286.8,13011.63
286.75,14002.02
286.7,15170.92
286.65,16515.43
286.6,17118.34
286.55,17908.64
286.5,19031.35
286.45,19487.72
286.4,20216.72
286.35,21060.97
286.3,20527.84
286.25,20968.02
286.2,20755.98
286.15,20740.87
286.1,20389.44
286.05,20258.16
286.0,20150.94
285.95,19885.11
285.9,19248.3
285.85,18841.75
285.8,18567.4
285.75,18124.69
285.7,17594.65
285.65,17480.14
285.6,17394.0
285.55,17704.18
285.5,17670.82
285.45,17739.4
285.4,18288.65
285.35,18798.31
285.3,19046.65
285.25,19619.77
285.2,20145.29
285.15,20627.11
285.1,21462.56
285.05,21790.08
285.0,22244.59
284.95,22371.76
284.9,22673.99
284.85,22911.96
284.8,22512.96
284.75,22071.58
284.7,21897.94
284.65,21612.46
284.6,20755.2
284.55,20216.02
284.5,19116.55
284.45,18559.03
284.4,17816.29
284.35,16667.08
284.3,15404.46
284.25,14931.35
284.2,14060.3
284.15,13034.91
284.1,12315.79
284.05,11440.68
284.0,10921.74
283.95,10020.91
283.9,9526.9
283.85,9112.05
283.8,8360.66
283.75,7886.65
283.7,7529.56
283.65,7143.96
283.6,6928.04
283.55,6496.18
283.5,6389.56
283.45,6247.93
283.4,5989.19
283.35,5762.18
283.3,5712.68
283.25,5288.27
283.2,5518.47
283.15,5228.07
283.1,5357.91
283.05,5074.35
283.0,5029.03
282.95,5040.28
282.9,5106.86
282.85,5009.18
282.8,4958.46
282.75,5045.17
282.7,4765.87
282.65,4862.26
282.6,4758.54
282.55,4718.29
282.5,4831.96
282.45,4797.75
282.4,4857.83
282.35,4832.74
282.3,4852.2
282.25,4674.21
282.2,4778.54
282.15,4657.14
282.1,4688.7
282.05,4682.86
282.0,4623.63
