binding_energy_eV,intensity_cps
292.0,755.35
291.95,736.0
291.9,772.42
291.85,748.14
291.8,735.77
291.75,787.79
291.7,799.32
291.65,799.67
291.6,764.11
291.55,781.99
291.5,803.56
291.45,751.55
291.4,777.26
291.35,801.6
291.3,791.21
291.25,856.29
291.2,887.77
291.15,822.06
291.1,819.1
291.05,927.93
291.0,914.19
290.95,935.62
290.9,909.75
290.85,920.55
290.8,900.65
290.75,953.88
290.7,993.14
290.65,1003.66
290.6,983.99
290.55,983.19
290.5,1016.19
290.45,1034.92
290.4,1062.94
290.35,1094.31
290.3,1126.32
290.25,1115.93
290.2,1152.34
290.15,1289.85
290.1,1207.16
290.05,1349.53
290.0,1324.28
289.95,1449.34
289.9,1487.33
289.85,1593.57
289.8,1787.72
289.75,1962.65
289.7,2172.43
289.65,2455.24
289.6,2591.55
289.55,3099.87
289.5,3492.17
289.45,4190.32
289.4,4692.02
289.35,5475.06
289.3,6222.1
289.25,7277.84
289.2,8267.24
289.15,9630.42
289.1,10670.66
289.05,12018.33
289.0,13322.38
288.95,14538.89
288.9,15946.16
288.85,16938.79
288.8,18072.24
288.75,18948.73
288.7,19544.92
288.65,19862.17
288.6,19857.07
288.55,19605.87
288.5,19234.11
288.45,18636.84
288.4,17399.29
288.35,16346.58
288.3,15330.71
288.25,14242.25
288.2,13059.62
288.15,12047.35
288.1,10864.82
288.05,9745.49
288.0,9042.6
287.95,8157.6
287.9,7336.83
287.85,6687.3
287.8,6317.58
287.75,5866.51
287.7,5559.27
287.65,5371.93
287.6,5333.15
287.55,5245.24
287.5,5276.61
287.45,5416.72
287.4,5598.19
287.35,5750.27
287.3,6265.5
287.25,6676.09
287.2,7272.58
287.15,7953.58
287.1,8733.33
287.05,9693.97
287.0,10406.76
286.95,11549.5
286.9,12766.13
286.85,14056.62
286.8,15470.29
286.75,17206.14
286.7,18734.34
286.65,20450.79
286.6,21573.91
286.55,23289.36
286.5,24854.34
286.45,25990.05
286.4,27198.83
286.35,28013.74
286.3,28817.9
286.25,28927.93
286.2,28760.05
286.15,28378.61
286.1,27877.39
286.05,26831.38
286.0,26015.67
285.95,24631.65
285.9,23412.7
285.85,22496.42
285.8,21305.31
285.75,20139.9
285.7,19085.9
285.65,18502.66
285.6,18040.89
285.55,17639.02
285.5,17663.29
285.45,17841.24
285.4,18576.72
285.35,19401.73
285.3,20659.53
285.25,22372.37
285.2,24091.7
285.15,26232.9
285.1,28582.7
285.05,31197.46
285.0,34036.23
284.95,37336.11
284.9,40064.7
284.85,43058.33
284.8,45575.33
284.75,47437.31
284.7,49327.34
284.65,50492.3
284.6,50959.55
284.55,50732.99
284.5,49511.0
284.45,47895.19
284.4,46020.93
284.35,43768.29
284.3,40712.01
284.25,37913.66
284.2,34961.52
284.15,31811.54
284.1,28823.36
284.05,26464.44
284.0,23784.0
283.95,21936.71
283.9,19856.53
283.85,18004.69
283.8,16351.61
283.75,15028.44
283.7,14125.06
283.65,12900.09
283.6,12320.77
283.55,11460.1
283.5,10948.66
283.45,10689.99
283.4,10213.36
283.35,9888.47
283.3,9810.68
283.25,9467.86
283.2,9199.05
283.15,9139.05
283.1,8945.04
283.05,8876.1
283.0,8710.26
282.95,8793.74
282.9,8684.87
282.85,8468.13
282.8,8418.11
282.75,8526.72
282.7,8284.58
282.65,8289.98
282.6,8205.94
282.55,8314.83
282.5,8135.69
282.45,8105.56
282.4,8067.61
282.35,8111.37
282.3,8004.09
282.25,8037.02
282.2,8043.02
282.15,8021.66
282.1,7920.35
282.05,7923.77
282.0,7921.57
